"SampleID","CRA","Error","DC13","Material","Species","Site","Phase","Type","Country","Longitude","Latitude","LocQual","Source","Comments"
"P-504",5518,81,NA,"soil","ashy soil","Pisdeli","niv. 5, phase Pisdeli",NA,"Iran",45.56,37.07,"C","Stuckenrath 1963. Radiocarbon 5: 82-103. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.","Banadora: pre-traitement à la soude (NaOH)"
"P-505",5638,85,NA,"soil","ashy soil","Pisdeli","niv. 10, phase Pisdeli",NA,"Iran",45.56,37.07,"C","Stuckenrath 1963. Radiocarbon 5: 82-103. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.","Banadora: cf. P-157"
"P-866",5445,72,NA,"charcoal",NA,"Rezaiyeh road","---",NA,"Iran",45.2,37.73,"C","Stuckenrath et al. 1966. Radiocarbon 8: 348-385.","Banadora: couche analogue aux couches anciennes de Pisdeli Tepe, cf. P-157, 505, 504; RY-2"
NA,5730,190,NA,"charcoal",NA,"RY-2","---",NA,"Iran",45.15,37.71,"C","Hole et al. 1969. Ann Arbor: University of Michigan.","Banadora: coupe pratique par des fabricants de briques, asocie à la ceramique semblable à celle de Pisdeli, LAB Shell-?"
"I-1500",5410,160,NA,"wood","carbonised wood (2 mixed samples)","Sabz","(-3,80 m)",NA,"Iran",47.26,32.59,"C","Buckley et al. 1968. Radiocarbon 10: 246-294. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Mehmeh, date attendue 4000 BC"
"SI-205",5700,250,NA,"wood","Tamarix","Sabz","(-1,50 m)",NA,"Iran",47.26,32.59,"C","Long a Mielke 1967, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Bayat"
"SI-156",5770,120,NA,"wood","wood, grain","Sabz","(-3,00 m)",NA,"Iran",47.26,32.59,"C","Long a Mielke 1966, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: avec ceramique de le phase Bayat (= Susiane d), date convenable"
"I-1503",5860,230,NA,"wood","carbonised","Sabz","---",NA,"Iran",47.26,32.59,"C","Hole et al. 1969. Ann Arbor: University of Michigan. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Bayat"
"I-1499",6050,140,NA,"charcoal",NA,"Sabz","---",NA,"Iran",47.26,32.59,"C","Hole et al. 1969. Ann Arbor: University of Michigan. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Bya.t"
"SI-204",6060,200,NA,"charcoal",NA,"Sabz","(-1,25 m)",NA,"Iran",47.26,32.59,"C","Long a Mielke 1967, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Baadora phase de Baya.t"
"I-1502",6060,140,NA,"wood","carbonised wood and grain","Sabz","(-3,10 m)",NA,"Iran",47.26,32.59,"C","Buckley et al. 1968. Radiocarbon 10: 246-294. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Bayat"
"UCLA-750A",6070,100,NA,"charcoal",NA,"Sabz","(-2,70 m)",NA,"Iran",47.26,32.59,"C","Berger et al. 1965. Radiocarbon 7: 336-371. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Bayat"
"SI-203",6170,200,NA,"charcoal",NA,"Sabz","(-1,25 m)",NA,"Iran",47.26,32.59,"C","Long a Mielke 1967, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: ceramique Obeid tardif, phase de Bayat, la serie SI-203 à 206 correspond à SI-156"
"I-1493",6470,160,NA,"charcoal",NA,"Sabz","(-5,00 m)",NA,"Iran",47.26,32.59,"C","Buckley et al. 1968. Radiocarbon 10: 246-294. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Mehmeh"
"I-1497",6740,190,NA,"charcoal",NA,"Sabz","(-9,60 m)",NA,"Iran",47.26,32.59,"C","Buckley et al. 1968. Radiocarbon 10: 246-294. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Sabz"
"UCLA-750B",6925,200,NA,"charcoal",NA,"Sabz","(-8,60 m)",NA,"Iran",47.26,32.59,"C","Berger et al. 1965. Radiocarbon 7: 336-371. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Khazineh"
"SI-206",7200,1000,NA,"charcoal",NA,"Sabz","(-9,40 m)",NA,"Iran",47.26,32.59,"C","Long a Mielke 1967, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Kazineh, (avec ceramique Obeid ancien ou Hajji Mohammad), echantillon trop petit"
"I-1501",7460,160,NA,"charcoal",NA,"Sabz","(-6,80 m)",NA,"Iran",47.26,32.59,"C","Buckley et al. 1968. Radiocarbon 10: 246-294. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: phase de Kazineh"
"UCLA-750C",9050,160,NA,"charcoal",NA,"Sabz","(-10,00 m)",NA,"Iran",47.26,32.59,"C","Berger et al. 1965. Radiocarbon 7: 336-371. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: semble trop vieux de 1000 ans d'après le contexte, phase de Sabz"
"P-465",7605,96,NA,"charcoal","charcoal and black soil","Sarab","niv. 4",NA,"Iran",47.09,34.38,"C","Stuckenrath 1963. Radiocarbon 5: 82-103. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.",NA
"P-467",7644,89,NA,"charcoal","charcoal and black soil","Sarab","sous un sol du niv. 1 (Op. L)",NA,"Iran",47.09,34.38,"C","Stuckenrath 1963. Radiocarbon 5: 82-103. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.",NA
"UCLA-1714A",7850,0,NA,"bone",NA,"Sarab","---",NA,"Iran",47.09,34.38,"C","Mellaart 1975. .",NA
"P-466",7956,98,NA,"charcoal","charcoal and black soil","Sarab","niv. 1",NA,"Iran",47.09,34.38,"C","Stuckenrath 1963. Radiocarbon 5: 82-103. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: maison enterrees, le site plus ancien du nord-ouest de l'Iran"
"P-442",5815,83,NA,"charcoal","charcoal and clay","Siabid","niv. 1",NA,"Iran",47.12,34.37,"C","Stuckenrath 1963. Radiocarbon 5: 82-103. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.","Banadora: Suse B, C ou Obeid ancien"
"QU-1035",5870,120,NA,NA,NA,"Siabid","niv. 1",NA,"Iran",47.12,34.37,"C","Henrickson 1983. Thèse dactylographiée, Department of Anthropology.  Université de Toronto. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Voigt a Dyson 1992.",NA
"P-1245",5090,56,NA,"charcoal",NA,"Yanik","niv. MC 8 (phase Pisdeli)",NA,"Iran",45.95,37.99,"C","Stuckenrath a Lawn 1969, Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.",NA
"P-1246",5267,73,NA,"charcoal",NA,"Yanik","niv. MC 17 (phase Pisdeli)",NA,"Iran",45.95,37.99,"C","Stuckenrath a Lawn 1969, Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.","Banadora: pre-traitement à la soude (NaOH)"
"P-1243",6926,80,NA,"charcoal",NA,"Yanik","niv. P 5 (phase Hajji Firuz)",NA,"Iran",45.95,37.99,"C","Stuckenrath a Lawn 1969, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.","Banadora: Neolithic recent, pre-traitement à la soude (NaOH)"
"P-1244",7035,69,NA,"charcoal",NA,"Yanik","niv. P 7 (phase Hajji Firuz)",NA,"Iran",45.95,37.99,"C","Stuckenrath a Lawn 1969, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford. Banadora. www.mom.fr.ceram.banadora.","Banadora: Neolithique recent, pre-traitement à la soude (NaOH)"
"Y-934",5460,120,NA,NA,NA,"Zeribar","---",NA,"Iran",46.12,35.55,"C","Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.",NA
"Y-1160",14800,300,NA,NA,NA,"Zeribar","---",NA,"Iran",46.12,35.55,"C","Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379.",NA
"BM-1823",5770,45,NA,"charcoal",NA,"Abadah","level II-III",NA,"Iraq",44.83,33.97,"C","Burleigh et al. 1982b. Radiocarbon 24: 262-290.",NA
"BM-1822",31000,1250,NA,"charcoal",NA,"Abadah","level I",NA,"Iraq",44.83,33.97,"C","Burleigh et al. 1982b. Radiocarbon 24: 262-290.","Banadora: date aberrante : contamination par four ""industriel"" (?) ou carbone de bitume"
"P-1499",6927,63,NA,"charcoal",NA,"Ali Agha","Oper. I, carre 3, ""features"" 6-7, sous sol 3",NA,"Iraq",43.82,36.45,"C","Lawn 1973. Radiocarbon 15: 367-381.","Banadora: pre-traitment la soude à (NaOH), la date se place à la fin de l´epoque Hassuna"
"BM-1531",6930,60,NA,"charcoal",NA,"Arpachiyah","fin phase 2 et debut phase 3 de Hijara (= pre-TT_10 de Mallowan)",NA,"Iraq",43.21,36.37,"C","Hijara et al. 1980. Iraq 42: 131-154. Burleigh et al. 1982a. Radiocarbon 24: 229-261. Watson 1983. In: Braidwood et al. (eds.) 1983, Prehistoric Archeology along the Zagros Flanks, The University of Chicago Oriental Institute Publications 105, Chicago: 545-614. Bernbeck 1994. Berliner Beiträge zum Vorderen Orient 14 (Ph.D. dissertation Berlin, Freie Univ. 1991), Berlin.",NA
"P-584",7027,83,NA,"charcoal","charcoal/ ash","Arpachiyah","niv. 8, phase Halaf",NA,"Iraq",43.21,36.37,"C","Stuckenrath a Ralph 1965, Coursaget a Le Run 1966, Bernbeck 1994. Berliner Beiträge zum Vorderen Orient 14 (Ph.D. dissertation Berlin, Freie Univ. 1991), Berlin. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.",NA
"P-585",8064,78,NA,"charcoal","charcoal/ ash","Arpachiyah","---",NA,"Iraq",43.21,36.37,"C","Stuckenrath a Ralph 1965.","Banadora: cf. Chagar Bazar"
"BM-483",6846,182,NA,"charcoal",NA,"Choga Mami","---",NA,"Iraq",45.17,33.9,"C","Oates 1972. Iraq 34: 49-53. Burleigh et al. 1977. Radiocarbon 19: 143-160. Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Bernbeck 1994. Berliner Beiträge zum Vorderen Orient 14 (Ph.D. dissertation Berlin, Freie Univ. 1991), Berlin.","Banadora: transition phase de Samarra / Hajji Mohammed"
"C-817",5400,325,NA,"soil","ash","Gawra","niv. XVIII-XVII",NA,"Iraq",43.34,36.43,"C","Libby 1955. 2nd edition, Chicago: University of Chicago Press.. Science 127, 1958. Science 127: 142.","Banadora: moyenne de deuy dates 5552 +- 350 BP, 5100 +- 800 BP"
"P-1497",5787,72,NA,"soil",NA,"Gawra","level XII",NA,"Iraq",43.34,36.43,"C","Lawn 1973. Radiocarbon 15: 367-381.","Banadora: pre-traitement à la soude (NaOH)"
"P-1496",5991,72,NA,"soil",NA,"Gawra","level XVII",NA,"Iraq",43.34,36.43,"C","Lawn 1973. Radiocarbon 15: 367-381.","Banadora: pre-traitement à la soude (NaOH)"
"P-1495",6420,61,NA,"soil","ashy soil","Gawra","level XVIII (à 0,50 m au-dessus de P-1494)",NA,"Iraq",43.34,36.43,"C","Lawn 1973. Radiocarbon 15: 367-381.","Banadora: pre-traitement à la soude (NaOH)"
"P-1494",7002,82,NA,"soil","ash","Gawra","level XIX",NA,"Iraq",43.34,36.43,"C","Lawn 1973. Radiocarbon 15: 367-381.","Banadora: pre-traitement à la soude (NaOH)"
"P-468",4949,75,NA,"charcoal","charcoal/ ash","Grai Resh","Uruk",NA,"Iraq",41.47,36.22,"C","Stuckenrath 1963. Radiocarbon 5: 82-103. Renfrew 1978. .",NA
"P-469",5169,64,NA,"charcoal",NA,"Grai Resh","Uruk",NA,"Iraq",41.47,36.22,"C","Stuckenrath 1963. Radiocarbon 5: 82-103. Renfrew 1978. .","Banadora: comparable à Gawra XIA-VIIIB"
"W-609",3030,200,NA,"charcoal",NA,"Hassuna","niv. I a",NA,"Iraq",43.21,36.07,"C","Rubin a Alexaer 1960.","Banadora: date rejetee"
"W-660",7040,200,NA,"charcoal",NA,"Hassuna","level V, phase Halaf",NA,"Iraq",43.21,36.07,"C","Science 127, 1958. Science 127: 142. Rubin a Alexaer 1960, Bernbeck 1994. Berliner Beiträge zum Vorderen Orient 14 (Ph.D. dissertation Berlin, Freie Univ. 1991), Berlin. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.",NA
"C-744",5266,450,NA,"charcoal",NA,"Jarmo","2, près de la surface",NA,"Iraq",44.92,35.56,"C","Libby 1955. 2nd edition, Chicago: University of Chicago Press.. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: niv. avec ceramique, cf. Braidwood 1958, 1426"
"UCLA-1723C",6180,300,NA,"bone","Bos, collagen","Jarmo","---",NA,"Iraq",44.92,35.56,"C","Berger et al. 1973. Orientalia 42: 214-227. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.",NA
"GL-49",6300,180,NA,"charcoal",NA,"Jarmo","5",NA,"Iraq",44.92,35.56,"C","Braidwood et al. (eds.) 1983, Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: même echantillon que GL-44, filtrate alone assayed"
"UCLA-1723D",6550,200,NA,"bone","Bos, collagen","Jarmo","---",NA,"Iraq",44.92,35.56,"C","Berger et al. 1973. Orientalia 42: 214-227. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.",NA
"C-742",6606,330,NA,"charcoal","taches de charbon de bois","Jarmo","7-8",NA,"Iraq",44.92,35.56,"C","Libby 1955. 2nd edition, Chicago: University of Chicago Press.. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: ""middle"" niv. aceramique, cf. Braidwood 1958, 1426"
"GL-44",6650,170,NA,"charcoal",NA,"Jarmo","5",NA,"Iraq",44.92,35.56,"C","Science 127, 1958. Science 127: 142. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: ""middle"" Henry/Servelle 1974, 40"
"GL-45",6670,120,NA,"charcoal",NA,"Jarmo","8",NA,"Iraq",44.92,35.56,"C","Science 127, 1958. Science 127: 142. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: ""middle Herry/Servello 1974, 40"
"C-743",6695,360,NA,"charcoal",NA,"Jarmo","5",NA,"Iraq",44.92,35.56,"C","Libby 1955. 2nd edition, Chicago: University of Chicago Press.. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: (niv. ceramique?), ""middle"", Braidwood 1958, 1426"
"C-113",6710,320,NA,"mollusc",NA,"Jarmo","7-8",NA,"Iraq",44.92,35.56,"C","Libby 1955. 2nd edition, Chicago: University of Chicago Press.. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: niv. preceramique, cf. Braidwood 1958, 1426"
"GL-50",6750,120,NA,"charcoal",NA,"Jarmo","8",NA,"Iraq",44.92,35.56,"C","Braidwood et al. (eds.) 1983, Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: même echantillon que GL-45, avec traitement HCl et NaOH"
"GL-48",6930,120,NA,"charcoal",NA,"Jarmo","5",NA,"Iraq",44.92,35.56,"C","Braidwood et al. (eds.) 1983, Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: même echantillon que GL-44, avec traitement HCl et NaOH"
"UCLA-1723B",7270,200,NA,"bone","Bos, collagen","Jarmo","---",NA,"Iraq",44.92,35.56,"C","Berger et al. 1973. Orientalia 42: 214-227. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.",NA
"GrN-6353",7655,75,NA,"organic temper","pottery","Jarmo","1",NA,"Iraq",44.92,35.56,"C","Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.",NA
"W-608",7750,250,NA,"bone","humic acid","Jarmo","PQ 14 (-2,5 m)",NA,"Iraq",44.92,35.56,"C","Rubin a Alexaer 1960, Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: ""lower"", niv. aceramique, même provenance que W-607, contamination par humus"
"UCLA-1723A",7800,120,NA,"bone","Ovis, collagen","Jarmo","---",NA,"Iraq",44.92,35.56,"C","Berger et al. 1973. Orientalia 42: 214-227. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.",NA
"W-652",7950,200,NA,"charcoal",NA,"Jarmo","7a",NA,"Iraq",44.92,35.56,"C","Rubin a Alexaer 1960, Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: ""lower"", cd. Braidwood 1958, 1426"
"UCLA-1714E",7980,140,NA,"bone","Onager, collagen","Jarmo","---",NA,"Iraq",44.92,35.56,"C","Berger et al. 1973. Orientalia 42: 214-227. Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.",NA
"H-551/-491",8525,175,NA,"charcoal",NA,"Jarmo","7",NA,"Iraq",44.92,35.56,"C","Braidwood 1958. Science 127: 1419-1430. b, Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: ""lower"", Henry/Servello 1974, 40"
"W-651",8830,200,NA,"charcoal",NA,"Jarmo","4",NA,"Iraq",44.92,35.56,"C","Rubin a Alexaer 1960, Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: ""lower"" Braidwood 1958, 1426"
"W-607",9040,250,NA,"soil","ash from hearth","Jarmo","PQ 14 (-2,5 m)",NA,"Iraq",44.92,35.56,"C","Rubin a Alexaer 1960, Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: ""lower"", aceramique, Braidwood 1958, 1426"
"W-665",11200,200,NA,"soil","ashy soil","Jarmo","N 18 (-2,00 m)",NA,"Iraq",44.92,35.56,"C","Rubin a Alexaer 1960, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: ""lower"", -2,00 m (niv. aceramique), cf. Braidwood 1958, 1426"
"W-657",11240,300,NA,"soil","ashy soil","Jarmo","PQ 14 (-2,25 m)",NA,"Iraq",44.92,35.56,"C","Rubin a Alexaer 1960, Braidwood et al. (eds.) 1983, Hole 1987. In: Aurenche et al. (eds.) 1987, Chronologies in the Near East : relative chronologies and absolute chronology 16.000-4.000 B.P. : C.N.R.S. International symposium, Lyon (France) 24-28 November 1986, BAR International Series 379, Oxford: 353-379. Kozłowski 1994a. Radiocarbon 36: 255-264.","Banadora: sommet niv. aceramique, Braidwood 1958, 1426"
"BM-1458",5570,55,NA,"seeds","carbinized grain","Madhhur","---",NA,"Iraq",44.95,34.2,"C","Burleigh et al. 1982a. Radiocarbon 24: 229-261.",NA
